# tcp_poses.txt
# 每行格式: x(mm)  y(mm)  z(mm)  rx(rad)  ry(rad)  rz(rad)
# 行顺序必须与采集图像的顺序完全一致（第1行↔calib_image_001.png，依此类推）
# 以 # 开头的行为注释，空行会被忽略
#
# 旋转类型说明（运行 02_convert_tcp_poses.py 时通过 --rotation_type 指定）：
#   euler_zyx       ZYX 外旋欧拉角 —— KUKA / Fanuc / 大多数工业机器人
#   euler_xyz       XYZ 外旋欧拉角
#   rotation_vector 旋转向量（轴角）—— UR 系列机器人
#
# 示例（20 个位姿，请替换为实际示教器读值）：
# ─────────────────────────────────────────────────────────────────────────────
#  x(mm)       y(mm)       z(mm)      rx(rad)    ry(rad)    rz(rad)
# ─────────────────────────────────────────────────────────────────────────────
300.00  -45.00  500.00   0.0000   1.5708   0.0000
280.00  -60.00  510.00   0.1000   1.5708   0.0500
320.00  -30.00  490.00  -0.1000   1.5708  -0.0500
300.00  -45.00  520.00   0.0000   1.6200   0.0000
300.00  -45.00  480.00   0.0000   1.5200   0.0000
260.00  -45.00  500.00   0.0500   1.5708   0.1000
340.00  -45.00  500.00  -0.0500   1.5708  -0.1000
300.00  -20.00  500.00   0.1500   1.5708   0.0000
300.00  -70.00  500.00  -0.1500   1.5708   0.0000
310.00  -50.00  505.00   0.0500   1.5900   0.0500
290.00  -40.00  495.00  -0.0500   1.5500  -0.0500
300.00  -45.00  515.00   0.0800   1.5708  -0.0800
300.00  -45.00  485.00  -0.0800   1.5708   0.0800
270.00  -55.00  510.00   0.1200   1.6000   0.0600
330.00  -35.00  490.00  -0.1200   1.5400  -0.0600
300.00  -45.00  500.00   0.0300   1.5708   0.0300
300.00  -45.00  500.00  -0.0300   1.5708  -0.0300
285.00  -50.00  510.00   0.0700   1.5800   0.0200
315.00  -40.00  490.00  -0.0700   1.5600  -0.0200
300.00  -45.00  500.00   0.0000   1.5708   0.0000
